Sentences,Type
"That lady was being such a Karen, yelling at the manager over nothing.",slang
She was Karening hard at the store — demanding to speak to the manager.,slang
Just posted my OOTD on Insta — feeling cute in this denim fit!,slang
Ross and Rachel are my OTP — they’re literally made for each other.,slang
"I’m tired af after that exam, not even kidding.",slang
"He walked in like an alpha, confident and in control of everything.",slang
"Her style is so alt, totally different from mainstream trends.",slang
Did you see her performance? She ate that and left no crumbs!,slang
There’s been beef between them ever since the group project fell apart.,slang
You think I won’t do it? Bet. Watch me.,slang
He said he’s going to win the race? Bet that. He’s been training for weeks.,slang
"He’s acting like a total beta, just going along with what everyone says.",slang
"Bffr, you really think pineapple belongs on pizza?",slang
That cat lying flat on the floor is a big mood right now.,slang
He showed up to the interview in pajamas — big yikes.,slang
"She kept spamming my phone, so I blocked her.",slang
My dad doesn’t understand memes — such a boomer moment.,slang
She only shops designer — totally boujee vibes.,slang
Boy math is thinking 5’10” is basically 6 feet.,slang
"Bruh, you really just spilled coffee on your laptop again?",slang
This mac and cheese is bussin — who made this?!,slang
You said you ran 10 miles this morning? That’s cap.,slang
She brought chaotic energy to the party and I loved every second of it.,slang
"He may break rules, but he’s doing it for a cause — classic chaotic good.",slang
"He’s such a chad, always flexing and trying too hard to impress.",slang
"That take was so chronically online, it makes no sense in real life.",slang
Her clapback on Twitter shut the haters down instantly.,slang
"She’s got that clean girl aesthetic — sleek bun, glossy skin, minimal makeup.",slang
Her whole vibe is very cottagecore — aesthetic to the max.,slang
His attempt at a TikTok dance was pure cringe.,slang
"He walked in, took control of the room — major daddy energy.",slang
I’m deadass not joking — that ghost tour was terrifying.,slang
"She’s de-influencing people, telling them not to waste money on trendy junk.",slang
She thinks they’re secretly dating because he liked her photo — she’s delulu.,slang
"I missed my bus, spilled my coffee, and failed the test. I’m done with life.",slang
She dragged him for his outfit — said it looked like a curtain.,slang
"That outfit is pure drip — the shoes, the jacket, everything!",slang
I’m feeling emo today — blasting sad music and staring out the window.,slang
"As soon as she walked in, there was a total energy shift in the room.",slang
"He brought balloons, a banner, and confetti for a casual dinner — so extra.",slang
“I just want a nap and a hug.” – Felt that.,slang
She totally finessed her way into the VIP section without a pass.,slang
"I only post rants and memes on my finsta, not my main.",slang
I’m finna order pizza — can’t deal with cooking right now.,slang
This party's dead. I'm finna dip.,slang
That new song is fire. I’ve had it on repeat all day.,slang
Your fit is so cute today! Where’s that jacket from?,slang
Hold up — fit check! Look at this coordinated outfit!,slang
Just did a fitcheck before heading out. Slaying confirmed.,slang
Her gym posts are total fitspo. Makes me wanna work out.,slang
I’m in my flop era — nothing I do is hitting lately.,slang
I had major FOMO seeing everyone’s beach stories while I was stuck at work.,slang
Don’t gaslight me — I know what I saw!,slang
Why do people gatekeep the best skincare brands like it’s top secret?,slang
She’s gatekeeping that recipe like it’s a national treasure.,slang
You’ve got this job interview — go get that bag!,slang
Girl math says this was basically free since I used store credit.,slang
She’s running her own company at 24 — total girlboss energy.,slang
I zoned out mid-sentence — I swear I glitched for a second.,slang
He really had a glow down after high school. 😬,slang
"She had the best glow up over summer — new hair, new vibe!",slang
"I was in goblin mode all weekend — snacks, hoodies, no socializing.",slang
Beyoncé is the GOAT. No debate.,slang
He hit the Griddy after scoring — crowd went wild.,slang
Back on the grind — no time for breaks this week.,slang
Just filmed a GRWM for brunch — should I post it?,slang
Gyat! That dress is doing the most in the best way.,slang
He sent one more “wyd” at 3AM and got the hard block.,slang
She posted him holding her hand at dinner — full hard launch.,slang
That movie was hella good. Definitely watching again.,slang
"Twitter is a hellscape lately, but I can’t log off.",slang
I highkey want to quit everything and move to a cabin.,slang
This playlist highkey slaps — every song is a banger.,slang
Went on my hot girl walk with my iced coffee and podcast.,slang
"I was a hot mess this morning — forgot my keys, spilled my drink, you name it.",slang
"Hot take, but I think cereal with no milk is better.",slang
"She’s in her icon era — thriving, glowing, unstoppable.",slang
That red carpet look was iconic — fashion history!,slang
IDC what they think — I’m doing what makes me happy.,slang
IDK what to wear to the concert — help me choose?,slang
"IMO, that was the best episode of the whole series.",slang
That song had me in my feels all night. 😢,slang
"She’s so funny online, but she’s super shy in real life.",slang
She’s basically an influencer now — brands keep sending her PR packages.,slang
"We’ve been friends online for years, but we finally met IRL last week!",slang
People keep asking if he’s your IRL BF or just your TikTok crush.,slang
I talk to so many people online but barely have IRL friends.,slang
His IRL GF is totally different from what I expected.,slang
It’s giving main character energy.,slang
That meme was hilarious — I’m dead. 😂,slang
She said she microwaves her cereal... I can’t even.,slang
I’m so jelly of your vacation pics!,slang
He’s got a plan — just let him cook.,slang
That scene is living rent-free in my head.,slang
He fell trying to impress her — LMAO.,slang
I totally forgot my own birthday lol.,slang
That fight last year is part of our group’s lore now.,slang
I lowkey wanna bail on the party and stay in bed.,slang
"She’s the main, no supporting role energy here.",slang
He walked in like the main character of a teen drama.,slang
You really had main character energy during that presentation.,slang
He’s got main character syndrome—thinks the world revolves around him.,slang
That outfit? Main slay. No notes.,slang
"Her reaction was so over the top, it’s 100% memeable.",slang
Everyone hyped it up but the movie was just mid.,slang
"It’s not bad, not amazing—just midcore music for background vibes.",slang
This mfer really showed up late with Starbucks for himself only.,slang
