,,
term,definition,Sentences
Karen,"A pejorative term for an entitled, demanding, or overly critical woman, often perceived as racist or rude.","That lady was being such a Karen, yelling at the manager over nothing."
Karening,"The act of behaving like a ""Karen"" — complaining or demanding in an unreasonable or entitled way.",She was Karening hard at the store — demanding to speak to the manager.
OOTD,"Acronym for ""Outfit of the Day""; used to showcase one’s clothing on social media.",Just posted my OOTD on Insta — feeling cute in this denim fit!
OTP,"""One True Pairing""; a favorite romantic couple, real or fictional.",Ross and Rachel are my OTP — they’re literally made for each other.
af,"Short for ""as f**k""; intensifier used to emphasize something.","I’m tired af after that exam, not even kidding."
alpha,"Refers to a dominant, assertive personality often seen as a leader.","He walked in like an alpha, confident and in control of everything."
alt,"Short for ""alternative""; associated with non-mainstream subcultures.","Her style is so alt, totally different from mainstream trends."
ate that,Someone did something exceptionally well.,Did you see her performance? She ate that and left no crumbs!
beef,Conflict or feud between individuals.,There’s been beef between them ever since the group project fell apart.
bet,"Slang for ""okay"" or ""you’re on"".",You think I won’t do it? Bet. Watch me.
bet that,"Variant of ""bet""; same meaning.",He said he’s going to win the race? Bet that. He’s been training for weeks.
beta,Submissive or non-dominant person; opposite of alpha.,"He’s acting like a total beta, just going along with what everyone says."
bffr,"""Be f***ing for real""; calling out someone acting unrealistically.","Bffr, you really think pineapple belongs on pizza?"
big mood,A strong sense of relatability or agreement.,That cat lying flat on the floor is a big mood right now.
big yikes,"Intensified version of ""yikes""; used for very awkward situations.",He showed up to the interview in pajamas — big yikes.
blocked,"Cutting someone off digitally (e.g., social media).","She kept spamming my phone, so I blocked her."
boomer,"Short for ""baby boomer""; used mockingly for outdated views.",My dad doesn’t understand memes — such a boomer moment.
boujee,Luxurious or high-class with a mix of humble roots.,She only shops designer — totally boujee vibes.
boy math,A humorous critique of male logic.,Boy math is thinking 5’10” is basically 6 feet.
bruh,"An exclamation meaning ""seriously?"" or ""come on.""","Bruh, you really just spilled coffee on your laptop again?"
bussin,"Really good, especially referring to food.",This mac and cheese is bussin — who made this?!
cap,"A lie or falsehood; ""no cap"" means ""no lie.""",You said you ran 10 miles this morning? That’s cap.
chaotic energy,"Wild, unpredictable, yet entertaining vibe.",She brought chaotic energy to the party and I loved every second of it.
chaotic good,Well-meaning but unpredictable behavior.,"He may break rules, but he’s doing it for a cause — classic chaotic good."
chad,"A confident, conventionally attractive man, often seen as shallow.","He’s such a chad, always flexing and trying too hard to impress."
chronically online,Too consumed by internet culture; out of touch with reality.,"That take was so chronically online, it makes no sense in real life."
clapback,"A sharp, witty comeback or retort.",Her clapback on Twitter shut the haters down instantly.
clean girl,"A minimalist, polished beauty/fashion aesthetic.","She’s got that clean girl aesthetic — sleek bun, glossy skin, minimal makeup."
core,"Used to name niche aesthetics (e.g., cottagecore, normcore).",Her whole vibe is very cottagecore — aesthetic to the max.
cringe,Embarrassing or awkward behavior.,His attempt at a TikTok dance was pure cringe.
daddy energy,"Confident, attractive, and dominant presence.","He walked in, took control of the room — major daddy energy."
deadass,Being completely serious or truthful.,I’m deadass not joking — that ghost tour was terrifying.
de-influencing,Discouraging others from buying overhyped products.,"She’s de-influencing people, telling them not to waste money on trendy junk."
delulu,Playful term for being delusional or overly idealistic.,She thinks they’re secretly dating because he liked her photo — she’s delulu.
done with life,Feeling emotionally exhausted or overwhelmed.,"I missed my bus, spilled my coffee, and failed the test. I’m done with life."
drag,"To roast or criticize harshly, often with flair.",She dragged him for his outfit — said it looked like a curtain.
drip,Stylish clothing or appearance; personal fashion swag.,"That outfit is pure drip — the shoes, the jacket, everything!"
emo,A subculture known for emotional expression and dark aesthetics.,I’m feeling emo today — blasting sad music and staring out the window.
energy shift,A noticeable change in vibe or emotional tone.,"As soon as she walked in, there was a total energy shift in the room."
extra,"Over-the-top, dramatic, or doing the most.","He brought balloons, a banner, and confetti for a casual dinner — so extra."
felt that,Strong emotional agreement or empathy.,“I just want a nap and a hug.” – Felt that.
finesse,To subtly manipulate or handle something skillfully.,She totally finessed her way into the VIP section without a pass.
finsta,A private Instagram for close friends only.,"I only post rants and memes on my finsta, not my main."
finna,"Slang contraction of ""fixing to""; means about to do something.",I’m finna order pizza — can’t deal with cooking right now.
finna dip,About to leave or bounce.,This party's dead. I'm finna dip.
fire,"Amazing, excellent, or impressive.",That new song is fire. I’ve had it on repeat all day.
fit,"Short for ""outfit.""",Your fit is so cute today! Where’s that jacket from?
fit check,Showcasing or evaluating someone’s outfit.,Hold up — fit check! Look at this coordinated outfit!
fitcheck,"Alternate spelling of ""fit check.""",Just did a fitcheck before heading out. Slaying confirmed.
fitspo,"Fitness inspiration content, often on social media.",Her gym posts are total fitspo. Makes me wanna work out.
flop era,A time when someone feels irrelevant or failing.,I’m in my flop era — nothing I do is hitting lately.
fomo,Fear of Missing Out.,I had major FOMO seeing everyone’s beach stories while I was stuck at work.
gaslight,Manipulating someone into questioning their reality.,Don’t gaslight me — I know what I saw!
gatekeep,Withholding info or access to maintain exclusivity.,Why do people gatekeep the best skincare brands like it’s top secret?
